Lugar de nacimiento del condenado;Edad del condenado;Periodo;Total
Europa;De 20 a 24 años;2019;1.949
Europa;De 20 a 24 años;2018;1.843
Europa;De 20 a 24 años;2017;1.825
Europa;De 20 a 24 años;2016;1.765
Europa;De 20 a 24 años;2015;1.693
Europa;De 25 a 29 años;2022;2.591
Europa;De 25 a 29 años;2021;2.504
Europa;De 25 a 29 años;2020;2.082
Europa;De 25 a 29 años;2019;2.675
Europa;De 25 a 29 años;2018;2.490
Europa;De 25 a 29 años;2017;2.522
Europa;De 25 a 29 años;2016;2.529
Europa;De 25 a 29 años;2015;2.324
Europa;De 30 a 34 años;2022;3.776
Europa;De 30 a 34 años;2021;3.514
Europa;De 30 a 34 años;2020;2.803
Europa;De 30 a 34 años;2019;3.305
Europa;De 30 a 34 años;2018;3.196
Europa;De 30 a 34 años;2017;3.085
Europa;De 30 a 34 años;2016;2.902
Europa;De 30 a 34 años;2015;2.793
Europa;De 35 a 39 años;2022;4.249
Europa;De 35 a 39 años;2021;3.951
Europa;De 35 a 39 años;2020;3.054
Europa;De 35 a 39 años;2019;3.824
Europa;De 35 a 39 años;2018;3.610
Europa;De 35 a 39 años;2017;3.613
Europa;De 35 a 39 años;2016;3.369
Europa;De 35 a 39 años;2015;3.281
Europa;De 40 a 44 años;2022;4.281
Europa;De 40 a 44 años;2021;4.067
Europa;De 40 a 44 años;2020;3.151
Europa;De 40 a 44 años;2019;3.774
Europa;De 40 a 44 años;2018;3.450
Europa;De 40 a 44 años;2017;3.374
Europa;De 40 a 44 años;2016;3.303
Europa;De 40 a 44 años;2015;2.944
Europa;De 45 a 49 años;2022;3.468
Europa;De 45 a 49 años;2021;3.124
Europa;De 45 a 49 años;2020;2.483
Europa;De 45 a 49 años;2019;2.983
Europa;De 45 a 49 años;2018;2.792
Europa;De 45 a 49 años;2017;2.642
Europa;De 45 a 49 años;2016;2.585
Europa;De 45 a 49 años;2015;2.421
Europa;De 50 a 54 años;2022;2.315
Europa;De 50 a 54 años;2021;2.062
Europa;De 50 a 54 años;2020;1.625
Europa;De 50 a 54 años;2019;1.928
Europa;De 50 a 54 años;2018;1.780
Europa;De 50 a 54 años;2017;1.798
Europa;De 50 a 54 años;2016;1.685
Europa;De 50 a 54 años;2015;1.568
Europa;De 55 a 59 años;2022;1.421
Europa;De 55 a 59 años;2021;1.269
Europa;De 55 a 59 años;2020;945
Europa;De 55 a 59 años;2019;1.147
Europa;De 55 a 59 años;2018;1.017
Europa;De 55 a 59 años;2017;1.062
Europa;De 55 a 59 años;2016;967
Europa;De 55 a 59 años;2015;897
Europa;De 60 a 64 años;2022;781
Europa;De 60 a 64 años;2021;715
Europa;De 60 a 64 años;2020;539
Europa;De 60 a 64 años;2019;633
Europa;De 60 a 64 años;2018;599
Europa;De 60 a 64 años;2017;506
Europa;De 60 a 64 años;2016;555
Europa;De 60 a 64 años;2015;514
Europa;De 65 a 69 años;2022;423
Europa;De 65 a 69 años;2021;405
Europa;De 65 a 69 años;2020;277
Europa;De 65 a 69 años;2019;336
Europa;De 65 a 69 años;2018;329
Europa;De 65 a 69 años;2017;338
Europa;De 65 a 69 años;2016;366
Europa;De 65 a 69 años;2015;307
Europa;De 70 a 74 años  ;2022;257
Europa;De 70 a 74 años  ;2021;222
Europa;De 70 a 74 años  ;2020;190
