Lugar de nacimiento del condenado;Edad del condenado;Periodo;Total
Europa menos UE28;De 40 a 44 años;2022;""
Europa menos UE28;De 40 a 44 años;2021;""
Europa menos UE28;De 40 a 44 años;2020;""
Europa menos UE28;De 40 a 44 años;2019;52
Europa menos UE28;De 40 a 44 años;2018;45
Europa menos UE28;De 40 a 44 años;2017;57
Europa menos UE28;De 40 a 44 años;2016;55
Europa menos UE28;De 40 a 44 años;2015;48
Europa menos UE28;De 45 a 49 años;2022;""
Europa menos UE28;De 45 a 49 años;2021;""
Europa menos UE28;De 45 a 49 años;2020;""
Europa menos UE28;De 45 a 49 años;2019;60
Europa menos UE28;De 45 a 49 años;2018;49
Europa menos UE28;De 45 a 49 años;2017;32
Europa menos UE28;De 45 a 49 años;2016;29
Europa menos UE28;De 45 a 49 años;2015;32
Europa menos UE28;De 50 a 54 años;2022;""
Europa menos UE28;De 50 a 54 años;2021;""
Europa menos UE28;De 50 a 54 años;2020;""
Europa menos UE28;De 50 a 54 años;2019;23
Europa menos UE28;De 50 a 54 años;2018;27
Europa menos UE28;De 50 a 54 años;2017;16
Europa menos UE28;De 50 a 54 años;2016;29
Europa menos UE28;De 50 a 54 años;2015;15
Europa menos UE28;De 55 a 59 años;2022;""
Europa menos UE28;De 55 a 59 años;2021;""
Europa menos UE28;De 55 a 59 años;2020;""
Europa menos UE28;De 55 a 59 años;2019;13
Europa menos UE28;De 55 a 59 años;2018;13
Europa menos UE28;De 55 a 59 años;2017;12
Europa menos UE28;De 55 a 59 años;2016;7
Europa menos UE28;De 55 a 59 años;2015;12
Europa menos UE28;De 60 a 64 años;2022;""
Europa menos UE28;De 60 a 64 años;2021;""
Europa menos UE28;De 60 a 64 años;2020;""
Europa menos UE28;De 60 a 64 años;2019;9
Europa menos UE28;De 60 a 64 años;2018;6
Europa menos UE28;De 60 a 64 años;2017;1
Europa menos UE28;De 60 a 64 años;2016;2
Europa menos UE28;De 60 a 64 años;2015;4
Europa menos UE28;De 65 a 69 años;2022;""
Europa menos UE28;De 65 a 69 años;2021;""
Europa menos UE28;De 65 a 69 años;2020;""
Europa menos UE28;De 65 a 69 años;2019;6
Europa menos UE28;De 65 a 69 años;2018;3
Europa menos UE28;De 65 a 69 años;2017;6
Europa menos UE28;De 65 a 69 años;2016;3
Europa menos UE28;De 65 a 69 años;2015;0
Europa menos UE28;De 70 a 74 años  ;2022;""
Europa menos UE28;De 70 a 74 años  ;2021;""
Europa menos UE28;De 70 a 74 años  ;2020;""
Europa menos UE28;De 70 a 74 años  ;2019;1
Europa menos UE28;De 70 a 74 años  ;2018;0
Europa menos UE28;De 70 a 74 años  ;2017;0
Europa menos UE28;De 70 a 74 años  ;2016;0
Europa menos UE28;De 70 a 74 años  ;2015;0
Europa menos UE28;75 y más años;2022;""
Europa menos UE28;75 y más años;2021;""
Europa menos UE28;75 y más años;2020;""
Europa menos UE28;75 y más años;2019;1
Europa menos UE28;75 y más años;2018;0
Europa menos UE28;75 y más años;2017;1
Europa menos UE28;75 y más años;2016;0
Europa menos UE28;75 y más años;2015;0
Europa menos UE27_2020;Todas las edades;2022;769
Europa menos UE27_2020;Todas las edades;2021;624
Europa menos UE27_2020;Todas las edades;2020;536
Europa menos UE27_2020;Todas las edades;2019;""
Europa menos UE27_2020;Todas las edades;2018;""
Europa menos UE27_2020;Todas las edades;2017;""
Europa menos UE27_2020;Todas las edades;2016;""
Europa menos UE27_2020;Todas las edades;2015;""
Europa menos UE27_2020;Menos de 18 años;2022;0
Europa menos UE27_2020;Menos de 18 años;2021;0
Europa menos UE27_2020;Menos de 18 años;2020;1
Europa menos UE27_2020;Menos de 18 años;2019;""
Europa menos UE27_2020;Menos de 18 años;2018;""
Europa menos UE27_2020;Menos de 18 años;2017;""
Europa menos UE27_2020;Menos de 18 años;2016;""
Europa menos UE27_2020;Menos de 18 años;2015;""
Europa menos UE27_2020;De 18 a 19 años;2022;6
Europa menos UE27_2020;De 18 a 19 años;2021;4
Europa menos UE27_2020;De 18 a 19 años;2020;12
Europa menos UE27_2020;De 18 a 19 años;2019;""
Europa menos UE27_2020;De 18 a 19 años;2018;""
Europa menos UE27_2020;De 18 a 19 años;2017;""
Europa menos UE27_2020;De 18 a 19 años;2016;""
Europa menos UE27_2020;De 18 a 19 años;2015;""
Europa menos UE27_2020;De 20 a 24 años;2022;51
Europa menos UE27_2020;De 20 a 24 años;2021;40
Europa menos UE27_2020;De 20 a 24 años;2020;22
Europa menos UE27_2020;De 20 a 24 años;2019;""
Europa menos UE27_2020;De 20 a 24 años;2018;""
Europa menos UE27_2020;De 20 a 24 años;2017;""
Europa menos UE27_2020;De 20 a 24 años;2016;""
Europa menos UE27_2020;De 20 a 24 años;2015;""
Europa menos UE27_2020;De 25 a 29 años;2022;81
Europa menos UE27_2020;De 25 a 29 años;2021;59
Europa menos UE27_2020;De 25 a 29 años;2020;60
Europa menos UE27_2020;De 25 a 29 años;2019;""
Europa menos UE27_2020;De 25 a 29 años;2018;""
Europa menos UE27_2020;De 25 a 29 años;2017;""
Europa menos UE27_2020;De 25 a 29 años;2016;""
Europa menos UE27_2020;De 25 a 29 años;2015;""
Europa menos UE27_2020;De 30 a 34 años;2022;95
Europa menos UE27_2020;De 30 a 34 años;2021;98
Europa menos UE27_2020;De 30 a 34 años;2020;83
Europa menos UE27_2020;De 30 a 34 años;2019;""
Europa menos UE27_2020;De 30 a 34 años;2018;""
Europa menos UE27_2020;De 30 a 34 años;2017;""
Europa menos UE27_2020;De 30 a 34 años;2016;""
Europa menos UE27_2020;De 30 a 34 años;2015;""
Europa menos UE27_2020;De 35 a 39 años;2022;136
Europa menos UE27_2020;De 35 a 39 años;2021;104
Europa menos UE27_2020;De 35 a 39 años;2020;79
Europa menos UE27_2020;De 35 a 39 años;2019;""
Europa menos UE27_2020;De 35 a 39 años;2018;""
Europa menos UE27_2020;De 35 a 39 años;2017;""
Europa menos UE27_2020;De 35 a 39 años;2016;""
Europa menos UE27_2020;De 35 a 39 años;2015;""
Europa menos UE27_2020;De 40 a 44 años;2022;112
Europa menos UE27_2020;De 40 a 44 años;2021;107
Europa menos UE27_2020;De 40 a 44 años;2020;87
Europa menos UE27_2020;De 40 a 44 años;2019;""
Europa menos UE27_2020;De 40 a 44 años;2018;""
Europa menos UE27_2020;De 40 a 44 años;2017;""
Europa menos UE27_2020;De 40 a 44 años;2016;""
Europa menos UE27_2020;De 40 a 44 años;2015;""
Europa menos UE27_2020;De 45 a 49 años;2022;113
Europa menos UE27_2020;De 45 a 49 años;2021;87
Europa menos UE27_2020;De 45 a 49 años;2020;73
Europa menos UE27_2020;De 45 a 49 años;2019;""
Europa menos UE27_2020;De 45 a 49 años;2018;""
Europa menos UE27_2020;De 45 a 49 años;2017;""
Europa menos UE27_2020;De 45 a 49 años;2016;""
Europa menos UE27_2020;De 45 a 49 años;2015;""
Europa menos UE27_2020;De 50 a 54 años;2022;69
Europa menos UE27_2020;De 50 a 54 años;2021;63
Europa menos UE27_2020;De 50 a 54 años;2020;49
Europa menos UE27_2020;De 50 a 54 años;2019;""
Europa menos UE27_2020;De 50 a 54 años;2018;""
Europa menos UE27_2020;De 50 a 54 años;2017;""
Europa menos UE27_2020;De 50 a 54 años;2016;""
Europa menos UE27_2020;De 50 a 54 años;2015;""
Europa menos UE27_2020;De 55 a 59 años;2022;42
Europa menos UE27_2020;De 55 a 59 años;2021;26
Europa menos UE27_2020;De 55 a 59 años;2020;33
Europa menos UE27_2020;De 55 a 59 años;2019;""
Europa menos UE27_2020;De 55 a 59 años;2018;""
Europa menos UE27_2020;De 55 a 59 años;2017;""
Europa menos UE27_2020;De 55 a 59 años;2016;""
Europa menos UE27_2020;De 55 a 59 años;2015;""
Europa menos UE27_2020;De 60 a 64 años;2022;40
Europa menos UE27_2020;De 60 a 64 años;2021;20
Europa menos UE27_2020;De 60 a 64 años;2020;16
Europa menos UE27_2020;De 60 a 64 años;2019;""
Europa menos UE27_2020;De 60 a 64 años;2018;""
Europa menos UE27_2020;De 60 a 64 años;2017;""
Europa menos UE27_2020;De 60 a 64 años;2016;""
Europa menos UE27_2020;De 60 a 64 años;2015;""
Europa menos UE27_2020;De 65 a 69 años;2022;11
Europa menos UE27_2020;De 65 a 69 años;2021;7
Europa menos UE27_2020;De 65 a 69 años;2020;6
Europa menos UE27_2020;De 65 a 69 años;2019;""
Europa menos UE27_2020;De 65 a 69 años;2018;""
Europa menos UE27_2020;De 65 a 69 años;2017;""
Europa menos UE27_2020;De 65 a 69 años;2016;""
Europa menos UE27_2020;De 65 a 69 años;2015;""
Europa menos UE27_2020;De 70 a 74 años  ;2022;8
Europa menos UE27_2020;De 70 a 74 años  ;2021;5
Europa menos UE27_2020;De 70 a 74 años  ;2020;9
Europa menos UE27_2020;De 70 a 74 años  ;2019;""
Europa menos UE27_2020;De 70 a 74 años  ;2018;""
Europa menos UE27_2020;De 70 a 74 años  ;2017;""
Europa menos UE27_2020;De 70 a 74 años  ;2016;""
Europa menos UE27_2020;De 70 a 74 años  ;2015;""
Europa menos UE27_2020;75 y más años;2022;5
Europa menos UE27_2020;75 y más años;2021;4
Europa menos UE27_2020;75 y más años;2020;6
Europa menos UE27_2020;75 y más años;2019;""
Europa menos UE27_2020;75 y más años;2018;""
Europa menos UE27_2020;75 y más años;2017;""
Europa menos UE27_2020;75 y más años;2016;""
Europa menos UE27_2020;75 y más años;2015;""
África;Todas las edades;2022;3.130
África;Todas las edades;2021;2.803
África;Todas las edades;2020;2.081
África;Todas las edades;2019;2.266
África;Todas las edades;2018;2.044
África;Todas las edades;2017;1.882
África;Todas las edades;2016;1.788
África;Todas las edades;2015;1.590
África;Menos de 18 años;2022;3
África;Menos de 18 años;2021;2
África;Menos de 18 años;2020;5
África;Menos de 18 años;2019;8
África;Menos de 18 años;2018;4
África;Menos de 18 años;2017;6
África;Menos de 18 años;2016;4
África;Menos de 18 años;2015;6
África;De 18 a 19 años;2022;55
África;De 18 a 19 años;2021;54
África;De 18 a 19 años;2020;35
África;De 18 a 19 años;2019;46
África;De 18 a 19 años;2018;28
África;De 18 a 19 años;2017;36
África;De 18 a 19 años;2016;20
África;De 18 a 19 años;2015;21
África;De 20 a 24 años;2022;382
África;De 20 a 24 años;2021;299
África;De 20 a 24 años;2020;167
África;De 20 a 24 años;2019;214
África;De 20 a 24 años;2018;217
África;De 20 a 24 años;2017;177
África;De 20 a 24 años;2016;163
África;De 20 a 24 años;2015;130
África;De 25 a 29 años;2022;472
África;De 25 a 29 años;2021;413
África;De 25 a 29 años;2020;299
África;De 25 a 29 años;2019;317
África;De 25 a 29 años;2018;263
África;De 25 a 29 años;2017;282
África;De 25 a 29 años;2016;260
África;De 25 a 29 años;2015;228
África;De 30 a 34 años;2022;537
África;De 30 a 34 años;2021;451
África;De 30 a 34 años;2020;397
África;De 30 a 34 años;2019;396
África;De 30 a 34 años;2018;401
África;De 30 a 34 años;2017;336
África;De 30 a 34 años;2016;352
África;De 30 a 34 años;2015;335
África;De 35 a 39 años;2022;493
África;De 35 a 39 años;2021;516
África;De 35 a 39 años;2020;370
África;De 35 a 39 años;2019;475
África;De 35 a 39 años;2018;402
África;De 35 a 39 años;2017;379
África;De 35 a 39 años;2016;383
África;De 35 a 39 años;2015;331
África;De 40 a 44 años;2022;511
África;De 40 a 44 años;2021;450
África;De 40 a 44 años;2020;357
África;De 40 a 44 años;2019;361
África;De 40 a 44 años;2018;346
África;De 40 a 44 años;2017;304
África;De 40 a 44 años;2016;280
África;De 40 a 44 años;2015;260
África;De 45 a 49 años;2022;330
África;De 45 a 49 años;2021;299
África;De 45 a 49 años;2020;234
África;De 45 a 49 años;2019;219
África;De 45 a 49 años;2018;194
África;De 45 a 49 años;2017;195
África;De 45 a 49 años;2016;173
África;De 45 a 49 años;2015;159
África;De 50 a 54 años;2022;202
África;De 50 a 54 años;2021;191
África;De 50 a 54 años;2020;129
África;De 50 a 54 años;2019;123
África;De 50 a 54 años;2018;111
África;De 50 a 54 años;2017;97
África;De 50 a 54 años;2016;91
África;De 50 a 54 años;2015;71
África;De 55 a 59 años;2022;75
África;De 55 a 59 años;2021;71
África;De 55 a 59 años;2020;57
África;De 55 a 59 años;2019;58
África;De 55 a 59 años;2018;40
África;De 55 a 59 años;2017;40
África;De 55 a 59 años;2016;32
África;De 55 a 59 años;2015;28
África;De 60 a 64 años;2022;44
África;De 60 a 64 años;2021;32
África;De 60 a 64 años;2020;22
África;De 60 a 64 años;2019;32
África;De 60 a 64 años;2018;24
África;De 60 a 64 años;2017;18
África;De 60 a 64 años;2016;15
África;De 60 a 64 años;2015;14
África;De 65 a 69 años;2022;16
África;De 65 a 69 años;2021;11
África;De 65 a 69 años;2020;8
África;De 65 a 69 años;2019;7
África;De 65 a 69 años;2018;9
África;De 65 a 69 años;2017;7
África;De 65 a 69 años;2016;6
África;De 65 a 69 años;2015;4
África;De 70 a 74 años  ;2022;4
África;De 70 a 74 años  ;2021;9
África;De 70 a 74 años  ;2020;1
África;De 70 a 74 años  ;2019;6
África;De 70 a 74 años  ;2018;4
África;De 70 a 74 años  ;2017;2
África;De 70 a 74 años  ;2016;2
África;De 70 a 74 años  ;2015;1
África;75 y más años;2022;6
África;75 y más años;2021;5
África;75 y más años;2020;0
África;75 y más años;2019;4
África;75 y más años;2018;1
África;75 y más años;2017;3
África;75 y más años;2016;7
África;75 y más años;2015;2
América;Todas las edades;2022;6.421
América;Todas las edades;2021;5.464
América;Todas las edades;2020;3.877
América;Todas las edades;2019;4.409
América;Todas las edades;2018;3.619
América;Todas las edades;2017;3.367
América;Todas las edades;2016;3.133
América;Todas las edades;2015;2.936
América;Menos de 18 años;2022;8
América;Menos de 18 años;2021;4
América;Menos de 18 años;2020;5
América;Menos de 18 años;2019;19
América;Menos de 18 años;2018;10
América;Menos de 18 años;2017;12
América;Menos de 18 años;2016;22
América;Menos de 18 años;2015;20
América;De 18 a 19 años;2022;90
América;De 18 a 19 años;2021;94
América;De 18 a 19 años;2020;83
América;De 18 a 19 años;2019;142
América;De 18 a 19 años;2018;117
América;De 18 a 19 años;2017;97
América;De 18 a 19 años;2016;124
América;De 18 a 19 años;2015;90
América;De 20 a 24 años;2022;842
América;De 20 a 24 años;2021;794
América;De 20 a 24 años;2020;551
América;De 20 a 24 años;2019;725
América;De 20 a 24 años;2018;630
América;De 20 a 24 años;2017;580
América;De 20 a 24 años;2016;546
América;De 20 a 24 años;2015;455
América;De 25 a 29 años;2022;1.300
América;De 25 a 29 años;2021;1.103
América;De 25 a 29 años;2020;748
América;De 25 a 29 años;2019;824
América;De 25 a 29 años;2018;628
América;De 25 a 29 años;2017;577
América;De 25 a 29 años;2016;550
América;De 25 a 29 años;2015;466
América;De 30 a 34 años;2022;1.208
América;De 30 a 34 años;2021;944
América;De 30 a 34 años;2020;677
América;De 30 a 34 años;2019;693
América;De 30 a 34 años;2018;615
América;De 30 a 34 años;2017;619
América;De 30 a 34 años;2016;529
América;De 30 a 34 años;2015;565
América;De 35 a 39 años;2022;1.035
América;De 35 a 39 años;2021;909
América;De 35 a 39 años;2020;637
América;De 35 a 39 años;2019;753
América;De 35 a 39 años;2018;613
América;De 35 a 39 años;2017;571
América;De 35 a 39 años;2016;535
América;De 35 a 39 años;2015;514
América;De 40 a 44 años;2022;872
América;De 40 a 44 años;2021;711
América;De 40 a 44 años;2020;543
América;De 40 a 44 años;2019;573
América;De 40 a 44 años;2018;462
América;De 40 a 44 años;2017;400
América;De 40 a 44 años;2016;390
América;De 40 a 44 años;2015;389
América;De 45 a 49 años;2022;508
América;De 45 a 49 años;2021;441
América;De 45 a 49 años;2020;335
América;De 45 a 49 años;2019;361
América;De 45 a 49 años;2018;298
América;De 45 a 49 años;2017;264
América;De 45 a 49 años;2016;245
América;De 45 a 49 años;2015;230
América;De 50 a 54 años;2022;314
América;De 50 a 54 años;2021;275
América;De 50 a 54 años;2020;161
América;De 50 a 54 años;2019;178
América;De 50 a 54 años;2018;145
América;De 50 a 54 años;2017;143
América;De 50 a 54 años;2016;120
América;De 50 a 54 años;2015;132
América;De 55 a 59 años;2022;149
América;De 55 a 59 años;2021;101
América;De 55 a 59 años;2020;87
América;De 55 a 59 años;2019;93
América;De 55 a 59 años;2018;63
América;De 55 a 59 años;2017;64
América;De 55 a 59 años;2016;43
América;De 55 a 59 años;2015;53
América;De 60 a 64 años;2022;71
América;De 60 a 64 años;2021;66
América;De 60 a 64 años;2020;35
América;De 60 a 64 años;2019;31
América;De 60 a 64 años;2018;29
América;De 60 a 64 años;2017;30
América;De 60 a 64 años;2016;18
América;De 60 a 64 años;2015;16
América;De 65 a 69 años;2022;14
América;De 65 a 69 años;2021;12
América;De 65 a 69 años;2020;13
América;De 65 a 69 años;2019;9
América;De 65 a 69 años;2018;5
América;De 65 a 69 años;2017;6
América;De 65 a 69 años;2016;6
América;De 65 a 69 años;2015;3
América;De 70 a 74 años  ;2022;7
América;De 70 a 74 años  ;2021;8
América;De 70 a 74 años  ;2020;2
América;De 70 a 74 años  ;2019;8
América;De 70 a 74 años  ;2018;2
América;De 70 a 74 años  ;2017;2
América;De 70 a 74 años  ;2016;5
América;De 70 a 74 años  ;2015;2
América;75 y más años;2022;3
América;75 y más años;2021;2
América;75 y más años;2020;0
América;75 y más años;2019;0
América;75 y más años;2018;2
América;75 y más años;2017;2
América;75 y más años;2016;0
América;75 y más años;2015;1
Asia;Todas las edades;2022;298
Asia;Todas las edades;2021;282
Asia;Todas las edades;2020;237
Asia;Todas las edades;2019;272
Asia;Todas las edades;2018;244
Asia;Todas las edades;2017;260
Asia;Todas las edades;2016;232
Asia;Todas las edades;2015;224
Asia;Menos de 18 años;2022;0
Asia;Menos de 18 años;2021;0
Asia;Menos de 18 años;2020;0
Asia;Menos de 18 años;2019;0
Asia;Menos de 18 años;2018;0
Asia;Menos de 18 años;2017;0
Asia;Menos de 18 años;2016;0
Asia;Menos de 18 años;2015;1
Asia;De 18 a 19 años;2022;1
Asia;De 18 a 19 años;2021;3
Asia;De 18 a 19 años;2020;0
Asia;De 18 a 19 años;2019;6
Asia;De 18 a 19 años;2018;1
Asia;De 18 a 19 años;2017;2
Asia;De 18 a 19 años;2016;2
Asia;De 18 a 19 años;2015;1
Asia;De 20 a 24 años;2022;16
Asia;De 20 a 24 años;2021;13
Asia;De 20 a 24 años;2020;8
Asia;De 20 a 24 años;2019;18
Asia;De 20 a 24 años;2018;17
Asia;De 20 a 24 años;2017;16
Asia;De 20 a 24 años;2016;7
Asia;De 20 a 24 años;2015;14
Asia;De 25 a 29 años;2022;34
Asia;De 25 a 29 años;2021;31
Asia;De 25 a 29 años;2020;35
Asia;De 25 a 29 años;2019;24
Asia;De 25 a 29 años;2018;18
Asia;De 25 a 29 años;2017;28
Asia;De 25 a 29 años;2016;24
Asia;De 25 a 29 años;2015;31
Asia;De 30 a 34 años;2022;51
Asia;De 30 a 34 años;2021;50
Asia;De 30 a 34 años;2020;40
Asia;De 30 a 34 años;2019;65
Asia;De 30 a 34 años;2018;49
Asia;De 30 a 34 años;2017;57
Asia;De 30 a 34 años;2016;47
Asia;De 30 a 34 años;2015;46
Asia;De 35 a 39 años;2022;60
Asia;De 35 a 39 años;2021;53
Asia;De 35 a 39 años;2020;47
Asia;De 35 a 39 años;2019;54
Asia;De 35 a 39 años;2018;53
Asia;De 35 a 39 años;2017;50
Asia;De 35 a 39 años;2016;53
Asia;De 35 a 39 años;2015;49
Asia;De 40 a 44 años;2022;52
Asia;De 40 a 44 años;2021;65
Asia;De 40 a 44 años;2020;44
Asia;De 40 a 44 años;2019;38
Asia;De 40 a 44 años;2018;42
Asia;De 40 a 44 años;2017;53
Asia;De 40 a 44 años;2016;42
Asia;De 40 a 44 años;2015;37
Asia;De 45 a 49 años;2022;47
Asia;De 45 a 49 años;2021;36
Asia;De 45 a 49 años;2020;35
Asia;De 45 a 49 años;2019;24
Asia;De 45 a 49 años;2018;32
Asia;De 45 a 49 años;2017;30
Asia;De 45 a 49 años;2016;32
Asia;De 45 a 49 años;2015;27
Asia;De 50 a 54 años;2022;21
Asia;De 50 a 54 años;2021;18
Asia;De 50 a 54 años;2020;14
Asia;De 50 a 54 años;2019;20
Asia;De 50 a 54 años;2018;19
Asia;De 50 a 54 años;2017;9
Asia;De 50 a 54 años;2016;14
Asia;De 50 a 54 años;2015;11
Asia;De 55 a 59 años;2022;11
Asia;De 55 a 59 años;2021;9
Asia;De 55 a 59 años;2020;8
Asia;De 55 a 59 años;2019;12
Asia;De 55 a 59 años;2018;8
Asia;De 55 a 59 años;2017;11
Asia;De 55 a 59 años;2016;7
Asia;De 55 a 59 años;2015;6
Asia;De 60 a 64 años;2022;4
Asia;De 60 a 64 años;2021;3
Asia;De 60 a 64 años;2020;2
Asia;De 60 a 64 años;2019;7
Asia;De 60 a 64 años;2018;2
Asia;De 60 a 64 años;2017;3
Asia;De 60 a 64 años;2016;3
Asia;De 60 a 64 años;2015;1
Asia;De 65 a 69 años;2022;1
Asia;De 65 a 69 años;2021;1
Asia;De 65 a 69 años;2020;2
Asia;De 65 a 69 años;2019;4
Asia;De 65 a 69 años;2018;1
Asia;De 65 a 69 años;2017;1
Asia;De 65 a 69 años;2016;1
Asia;De 65 a 69 años;2015;0
Asia;De 70 a 74 años  ;2022;0
Asia;De 70 a 74 años  ;2021;0
Asia;De 70 a 74 años  ;2020;2
Asia;De 70 a 74 años  ;2019;0
Asia;De 70 a 74 años  ;2018;1
Asia;De 70 a 74 años  ;2017;0
Asia;De 70 a 74 años  ;2016;0
Asia;De 70 a 74 años  ;2015;0
Asia;75 y más años;2022;0
Asia;75 y más años;2021;0
Asia;75 y más años;2020;0
Asia;75 y más años;2019;0
Asia;75 y más años;2018;1
Asia;75 y más años;2017;0
Asia;75 y más años;2016;0
Asia;75 y más años;2015;0
Oceanía ;Todas las edades;2022;5
Oceanía ;Todas las edades;2021;3
Oceanía ;Todas las edades;2020;4
Oceanía ;Todas las edades;2019;5
Oceanía ;Todas las edades;2018;5
Oceanía ;Todas las edades;2017;4
Oceanía ;Todas las edades;2016;0
Oceanía ;Todas las edades;2015;4
Oceanía ;Menos de 18 años;2022;0
Oceanía ;Menos de 18 años;2021;0
Oceanía ;Menos de 18 años;2020;0
Oceanía ;Menos de 18 años;2019;0
Oceanía ;Menos de 18 años;2018;0
Oceanía ;Menos de 18 años;2017;0
Oceanía ;Menos de 18 años;2016;0
Oceanía ;Menos de 18 años;2015;0
Oceanía ;De 18 a 19 años;2022;0
Oceanía ;De 18 a 19 años;2021;0
Oceanía ;De 18 a 19 años;2020;0
Oceanía ;De 18 a 19 años;2019;0
Oceanía ;De 18 a 19 años;2018;0
Oceanía ;De 18 a 19 años;2017;1
Oceanía ;De 18 a 19 años;2016;0
Oceanía ;De 18 a 19 años;2015;0
Oceanía ;De 20 a 24 años;2022;0
Oceanía ;De 20 a 24 años;2021;0
Oceanía ;De 20 a 24 años;2020;1
Oceanía ;De 20 a 24 años;2019;0
Oceanía ;De 20 a 24 años;2018;0
Oceanía ;De 20 a 24 años;2017;0
Oceanía ;De 20 a 24 años;2016;0
Oceanía ;De 20 a 24 años;2015;0
Oceanía ;De 25 a 29 años;2022;1
Oceanía ;De 25 a 29 años;2021;0
Oceanía ;De 25 a 29 años;2020;0
Oceanía ;De 25 a 29 años;2019;0
Oceanía ;De 25 a 29 años;2018;0
Oceanía ;De 25 a 29 años;2017;0
Oceanía ;De 25 a 29 años;2016;0
Oceanía ;De 25 a 29 años;2015;1
Oceanía ;De 30 a 34 años;2022;0
Oceanía ;De 30 a 34 años;2021;0
Oceanía ;De 30 a 34 años;2020;0
Oceanía ;De 30 a 34 años;2019;0
Oceanía ;De 30 a 34 años;2018;0
Oceanía ;De 30 a 34 años;2017;1
Oceanía ;De 30 a 34 años;2016;0
Oceanía ;De 30 a 34 años;2015;0
Oceanía ;De 35 a 39 años;2022;0
Oceanía ;De 35 a 39 años;2021;0
Oceanía ;De 35 a 39 años;2020;0
Oceanía ;De 35 a 39 años;2019;1
Oceanía ;De 35 a 39 años;2018;0
Oceanía ;De 35 a 39 años;2017;0
Oceanía ;De 35 a 39 años;2016;0
Oceanía ;De 35 a 39 años;2015;1
Oceanía ;De 40 a 44 años;2022;0
Oceanía ;De 40 a 44 años;2021;0
Oceanía ;De 40 a 44 años;2020;2
Oceanía ;De 40 a 44 años;2019;2
Oceanía ;De 40 a 44 años;2018;3
Oceanía ;De 40 a 44 años;2017;0
Oceanía ;De 40 a 44 años;2016;0
Oceanía ;De 40 a 44 años;2015;1
Oceanía ;De 45 a 49 años;2022;2
Oceanía ;De 45 a 49 años;2021;1
Oceanía ;De 45 a 49 años;2020;1
Oceanía ;De 45 a 49 años;2019;2
Oceanía ;De 45 a 49 años;2018;1
Oceanía ;De 45 a 49 años;2017;1
Oceanía ;De 45 a 49 años;2016;0
Oceanía ;De 45 a 49 años;2015;1
Oceanía ;De 50 a 54 años;2022;2
Oceanía ;De 50 a 54 años;2021;1
Oceanía ;De 50 a 54 años;2020;0
Oceanía ;De 50 a 54 años;2019;0
Oceanía ;De 50 a 54 años;2018;1
Oceanía ;De 50 a 54 años;2017;0
Oceanía ;De 50 a 54 años;2016;0
Oceanía ;De 50 a 54 años;2015;0
Oceanía ;De 55 a 59 años;2022;0
Oceanía ;De 55 a 59 años;2021;0
Oceanía ;De 55 a 59 años;2020;0
Oceanía ;De 55 a 59 años;2019;0
Oceanía ;De 55 a 59 años;2018;0
Oceanía ;De 55 a 59 años;2017;1
Oceanía ;De 55 a 59 años;2016;0
Oceanía ;De 55 a 59 años;2015;0
Oceanía ;De 60 a 64 años;2022;0
Oceanía ;De 60 a 64 años;2021;0
Oceanía ;De 60 a 64 años;2020;0
Oceanía ;De 60 a 64 años;2019;0
Oceanía ;De 60 a 64 años;2018;0
Oceanía ;De 60 a 64 años;2017;0
Oceanía ;De 60 a 64 años;2016;0
Oceanía ;De 60 a 64 años;2015;0
Oceanía ;De 65 a 69 años;2022;0
Oceanía ;De 65 a 69 años;2021;1
Oceanía ;De 65 a 69 años;2020;0
Oceanía ;De 65 a 69 años;2019;0
Oceanía ;De 65 a 69 años;2018;0
Oceanía ;De 65 a 69 años;2017;0
Oceanía ;De 65 a 69 años;2016;0
Oceanía ;De 65 a 69 años;2015;0
Oceanía ;De 70 a 74 años  ;2022;0
Oceanía ;De 70 a 74 años  ;2021;0
Oceanía ;De 70 a 74 años  ;2020;0
Oceanía ;De 70 a 74 años  ;2019;0
Oceanía ;De 70 a 74 años  ;2018;0
Oceanía ;De 70 a 74 años  ;2017;0
Oceanía ;De 70 a 74 años  ;2016;0
Oceanía ;De 70 a 74 años  ;2015;0
Oceanía ;75 y más años;2022;0
Oceanía ;75 y más años;2021;0
Oceanía ;75 y más años;2020;0
Oceanía ;75 y más años;2019;0
Oceanía ;75 y más años;2018;0
Oceanía ;75 y más años;2017;0
Oceanía ;75 y más años;2016;0
Oceanía ;75 y más años;2015;0
