Comunidades y ciudades autónomas;Grupo de edad;Periodo;Total
País Vasco;Todas las edades;2021;1.486
País Vasco;Todas las edades;2020;1.078
País Vasco;Todas las edades;2019;1.358
País Vasco;Todas las edades;2018;1.146
País Vasco;Todas las edades;2017;1.089
País Vasco;Todas las edades;2016;1.066
País Vasco;Todas las edades;2015;1.049
Rioja, La;Todas las edades;2022;329
Rioja, La;Todas las edades;2021;232
Rioja, La;Todas las edades;2020;176
Rioja, La;Todas las edades;2019;217
Rioja, La;Todas las edades;2018;229
Rioja, La;Todas las edades;2017;194
Rioja, La;Todas las edades;2016;197
Rioja, La;Todas las edades;2015;180
Ceuta;Todas las edades;2022;88
Ceuta;Todas las edades;2021;76
Ceuta;Todas las edades;2020;57
Ceuta;Todas las edades;2019;53
Ceuta;Todas las edades;2018;69
Ceuta;Todas las edades;2017;61
Ceuta;Todas las edades;2016;62
Ceuta;Todas las edades;2015;54
Melilla;Todas las edades;2022;86
Melilla;Todas las edades;2021;58
Melilla;Todas las edades;2020;44
Melilla;Todas las edades;2019;60
Melilla;Todas las edades;2018;57
Melilla;Todas las edades;2017;59
Melilla;Todas las edades;2016;58
Melilla;Todas las edades;2015;55
